Indicador,Provincia,FechaValidez,Valor,Unidad,Frecuencia, 
hidráulica,Salamanca,2006,308911,Toneladas equivalentes de petróleo,12,meses
hidráulica,Segovia,2006,3317,Toneladas equivalentes de petróleo,12,meses
hidráulica,Soria,2006,34663,Toneladas equivalentes de petróleo,12,meses
hidráulica,Valladolid,2006,4979,Toneladas equivalentes de petróleo,12,meses
hidráulica,Zamora,2006,190872,Toneladas equivalentes de petróleo,12,meses
hidráulica,Ávila,2008,6600,Toneladas equivalentes de petróleo,12,meses
hidráulica,Burgos,2008,5960,Toneladas equivalentes de petróleo,12,meses
hidráulica,León,2008,48514,Toneladas equivalentes de petróleo,12,meses
hidráulica,Palencia,2008,10265,Toneladas equivalentes de petróleo,12,meses
hidráulica,Salamanca,2008,282778,Toneladas equivalentes de petróleo,12,meses
hidráulica,Segovia,2008,644,Toneladas equivalentes de petróleo,12,meses
hidráulica,Soria,2008,1128,Toneladas equivalentes de petróleo,12,meses
hidráulica,Valladolid,2008,580,Toneladas equivalentes de petróleo,12,meses
hidráulica,Zamora,2008,101279,Toneladas equivalentes de petróleo,12,meses
hidráulica,Ávila,2010,7522,Toneladas equivalentes de petróleo,12,meses
hidráulica,Burgos,2010,9877,Toneladas equivalentes de petróleo,12,meses
hidráulica,León,2010,107634,Toneladas equivalentes de petróleo,12,meses
hidráulica,Palencia,2010,18998,Toneladas equivalentes de petróleo,12,meses
hidráulica,Salamanca,2010,588142,Toneladas equivalentes de petróleo,12,meses
hidráulica,Segovia,2010,859,Toneladas equivalentes de petróleo,12,meses
hidráulica,Soria,2010,1576,Toneladas equivalentes de petróleo,12,meses
hidráulica,Valladolid,2010,818,Toneladas equivalentes de petróleo,12,meses
hidráulica,Zamora,2010,276253,Toneladas equivalentes de petróleo,12,meses
hidráulica,Ávila,2012,5107,Toneladas equivalentes de petróleo,12,meses
hidráulica,Burgos,2012,5866,Toneladas equivalentes de petróleo,12,meses
hidráulica,León,2012,40424,Toneladas equivalentes de petróleo,12,meses
hidráulica,Palencia,2012,7937,Toneladas equivalentes de petróleo,12,meses
hidráulica,Salamanca,2012,330007,Toneladas equivalentes de petróleo,12,meses
hidráulica,Segovia,2012,356,Toneladas equivalentes de petróleo,12,meses
hidráulica,Soria,2012,970,Toneladas equivalentes de petróleo,12,meses
hidráulica,Valladolid,2012,279,Toneladas equivalentes de petróleo,12,meses
hidráulica,Zamora,2012,72872,Toneladas equivalentes de petróleo,12,meses
hidráulica,Ávila,2014,10077,Toneladas equivalentes de petróleo,12,meses
hidráulica,Burgos,2014,7768,Toneladas equivalentes de petróleo,12,meses
hidráulica,León,2014,94759,Toneladas equivalentes de petróleo,12,meses
hidráulica,Palencia,2014,18567,Toneladas equivalentes de petróleo,12,meses
hidráulica,Salamanca,2014,528961,Toneladas equivalentes de petróleo,12,meses
hidráulica,Segovia,2014,995,Toneladas equivalentes de petróleo,12,meses
hidráulica,Soria,2014,2480,Toneladas equivalentes de petróleo,12,meses
hidráulica,Valladolid,2014,740,Toneladas equivalentes de petróleo,12,meses
hidráulica,Zamora,2014,247806,Toneladas equivalentes de petróleo,12,meses
nuclear,Burgos,2000,1050013,Toneladas equivalentes de petróleo,12,meses
nuclear,Burgos,2002,1041009,Toneladas equivalentes de petróleo,12,meses
nuclear,Burgos,2004,1055323,Toneladas equivalentes de petróleo,12,meses
nuclear,Burgos,2006,1001172,Toneladas equivalentes de petróleo,12,meses
nuclear,Burgos,2008,1047775,Toneladas equivalentes de petróleo,12,meses
nuclear,Burgos,2010,999966,Toneladas equivalentes de petróleo,12,meses
nuclear,Burgos,2012,1011046,Toneladas equivalentes de petróleo,12,meses
nuclear,Burgos,2014,0,Toneladas equivalentes de petróleo,12,meses
solar,Ávila,2012,10241,Toneladas equivalentes de petróleo,12,meses
solar,Burgos,2012,3473,Toneladas equivalentes de petróleo,12,meses
solar,León,2012,6758,Toneladas equivalentes de petróleo,12,meses
solar,Palencia,2012,3707,Toneladas equivalentes de petróleo,12,meses
solar,Salamanca,2012,8998,Toneladas equivalentes de petróleo,12,meses
solar,Segovia,2012,3783,Toneladas equivalentes de petróleo,12,meses
solar,Soria,2012,3000,Toneladas equivalentes de petróleo,12,meses
solar,Valladolid,2012,18379,Toneladas equivalentes de petróleo,12,meses
solar,Zamora,2012,12439,Toneladas equivalentes de petróleo,12,meses
solar,Ávila,2014,10032,Toneladas equivalentes de petróleo,12,meses
solar,Burgos,2014,3917,Toneladas equivalentes de petróleo,12,meses
solar,León,2014,6551,Toneladas equivalentes de petróleo,12,meses
solar,Palencia,2014,4034,Toneladas equivalentes de petróleo,12,meses
solar,Salamanca,2014,8708,Toneladas equivalentes de petróleo,12,meses
solar,Segovia,2014,3720,Toneladas equivalentes de petróleo,12,meses
solar,Soria,2014,2901,Toneladas equivalentes de petróleo,12,meses
solar,Valladolid,2014,20625,Toneladas equivalentes de petróleo,12,meses
solar,Zamora,2014,12170,Toneladas equivalentes de petróleo,12,meses
